Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
A26004	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26010	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26016	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26024	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26026	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26045	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26060	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26064	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26068	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
A26073	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26077	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26080	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26082	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A26087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27040	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A27041	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
A27042	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27046	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27056	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27105	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27117	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27138	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
A27142	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27145	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27170	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
A27182	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
A27184	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27192	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27197	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27203	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27212	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
A27225	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27228	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27233	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27274	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27278	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27289	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27294	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27301	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27304	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27306	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27307	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27308	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27311	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27318	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27325	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27358	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27363	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27376	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27388	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27406	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27409	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27420	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27424	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27461	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27467	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27473	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A27489	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A27490	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27498	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A27499	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
A28001	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28007	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28011	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28014	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28018	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A28034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28038	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28058	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28072	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28076	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
A28081	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28097	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28106	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28122	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28130	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28143	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28152	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28161	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
A28163	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28165	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28178	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
A28188	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28201	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A28212	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
A28217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28225	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A28238	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
